_	A	B	C	D	AB	AD	BC	ABC	ABD
1	0	1	0	0	0	0	0	0	0	0
2	0	1	0	0	0	0	0	0	0	0
3	0	0	0	0	0	0	1	0	0	0
4	0	0	0	0	0	0	1	0	0	0
5	0	1	0	0	0	0	0	0	0	0
6	0	1	0	0	0	0	0	0	0	0
7	0	1	0	0	0	0	0	0	0	0
8	0	1	0	0	0	0	0	0	0	0
9	0	0	1	0	0	0	0	0	0	0
10	0	0	1	0	0	0	0	0	0	0
11	0	0	1	0	0	0	0	0	0	0
12	0	0	1	0	0	0	0	0	0	0
13	0	0	1	0	0	0	0	0	0	0
14	0	0	1	0	0	0	0	0	0	0
15	0	0	0	0	1	0	0	0	0	0
16	0	0	0	0	0	0	1	0	0	0
17	0	0	0	0	0	0	0	1	0	0
18	0	0	0	0	0	0	0	0	0	1
19	0	0	1	0	0	0	0	0	0	0
20	0	0	0	0	0	0	0	1	0	0
21	0	0	0	0	0	0	0	0	0	1
22	0	0	0	1	0	0	0	0	0	0
23	0	0	0	0	0	0	0	0	0	1
24	0	0	0	0	0	0	0	0	0	1
25	0	0	0	0	0	0	0	1	0	0
26	0	0	1	0	0	0	0	0	0	0
27	0	0.00258611249631139	0.494747808841288	0.0463247711840439	6.73024686650254e-12	0.0393719997988339	0.000456278375909374	0.28848262355137	0.104880882062873	0.023149523682639
28	0	1.00303270867125e-16	4.15259625344424e-08	0.0112298317756739	2.04957018163215e-26	2.84424561952318e-09	5.01225748679752e-18	0.883562271990419	0.105207850994394	8.69304789518718e-10
29	0	3.01154536916285e-09	0.68615291054076	5.32464488852271e-12	4.17705527902539e-19	0.192562971591723	2.48040779933951e-10	0.0021180960015742	0.014470530812142	0.10469548778889
30	0	0.159893235635685	0.669768370833327	1.6067765810161e-18	3.28582139696054e-06	0.0890899012283389	0.0215344105610089	3.60997716636208e-10	9.16690048611624e-10	0.0597107946425549
31	0	3.86383279516219e-09	2.26139066834413e-10	4.86833425644627e-30	7.87036349232983e-23	0.99990420924479	1.22537877282252e-14	5.81041888300624e-20	3.12008233205026e-09	9.57835451436879e-05
32	0	0.99988719190009	7.0234551148959e-20	1.35984789023152e-40	1.81711725604178e-22	3.42628543478928e-11	0.000112808065623038	3.99514695658169e-31	8.91921351908539e-21	2.36153515956718e-14
33	0	0.999024728348415	8.19124843964878e-23	9.66398581523589e-53	1.30370194971651e-06	1.99717590112531e-12	0.000973967947492092	5.87887171425972e-34	6.56834164346254e-22	1.45573491390978e-13
34	0	0.980206345539478	1.65013310989084e-21	4.45444203018922e-51	3.86089038451198e-12	1.07934998352718e-11	0.0197936544442262	2.60606590104026e-32	1.40296270898173e-21	1.64161380634691e-12
