anc_state_1	anc_state_1_pp	anc_state_2	anc_state_2_pp	anc_state_3	anc_state_3_pp	anc_state_other_pp	index	posterior	node
Hawkmoth	1	NA	0	NA	0	0	26	1	1
Hawkmoth	1	NA	0	NA	0	0	25	1	2
Hawkmoth	0.9998	Bat	0.000133	Hummingbird	6.7e-05	0	27	1	35
Hawkmoth	1	NA	0	NA	0	0	24	1	3
Hawkmoth	0.999933	Hummingbird	6.7e-05	NA	0	0	28	1	34
Hawkmoth	1	NA	0	NA	0	0	23	1	4
Hawkmoth	1	NA	0	NA	0	0	22	1	5
Hawkmoth	0.999733	Hummingbird	0.000133	Bat	0.000133	0	29	1	37
Hawkmoth	1	NA	0	NA	0	0	21	1	6
Hawkmoth	0.999867	Hummingbird	0.000133	NA	0	0	30	1	36
Hawkmoth	0.999933	Hummingbird	6.7e-05	NA	0	0	31	1	33
Hawkmoth	1	NA	0	NA	0	0	20	1	7
Hawkmoth	1	NA	0	NA	0	0	19	1	8
Hawkmoth	0.999267	Bat	0.000533	Hummingbird	2e-04	0	32	1	38
Hawkmoth	0.999533	Bat	0.000267	Hummingbird	2e-04	0	33	1	32
Hawkmoth	1	NA	0	NA	0	0	18	1	9
Hawkmoth	0.994667	Bat	0.003866	Hummingbird	0.001466	0	34	1	31
Hummingbird	1	NA	0	NA	0	0	17	1	10
Hummingbird	1	NA	0	NA	0	0	16	1	11
Hummingbird	0.998667	Bat	8e-04	Hawkmoth	0.000533	0	35	1	42
Hummingbird	1	NA	0	NA	0	0	15	1	12
Hummingbird	1	NA	0	NA	0	0	14	1	13
Hummingbird	0.995867	Bat	0.003266	Hawkmoth	0.000867	0	36	1	43
Hummingbird	0.974137	Bat	0.021464	Hawkmoth	0.004399	0	37	1	41
Bat	1	NA	0	NA	0	0	13	1	14
Bat	0.778763	Hummingbird	0.154113	Hawkmoth	0.067124	0	38	1	40
Bat	1	NA	0	NA	0	0	12	1	15
Bat	1	NA	0	NA	0	0	11	1	16
Bat	0.976137	Hummingbird	0.013065	Hawkmoth	0.010799	0	39	1	44
Bat	0.794161	Hummingbird	0.118251	Hawkmoth	0.087588	0	40	1	39
Hawkmoth	0.837755	Bat	0.138448	Hummingbird	0.023797	0	41	1	30
Hawkmoth	1	NA	0	NA	0	0	10	1	17
Hawkmoth	1	NA	0	NA	0	0	9	1	18
Hawkmoth	0.997934	Bat	0.001266	Hummingbird	8e-04	0	42	1	47
Hawkmoth	1	NA	0	NA	0	0	8	1	19
Hawkmoth	1	NA	0	NA	0	0	7	1	20
Hawkmoth	0.998267	Bat	0.001266	Hummingbird	0.000467	0	43	1	48
Hawkmoth	0.996201	Bat	0.0028	Hummingbird	0.001	0	44	1	46
Bat	1	NA	0	NA	0	0	6	1	21
Hawkmoth	0.865551	Bat	0.120984	Hummingbird	0.013465	0	45	1	45
Hawkmoth	0.857086	Bat	0.121584	Hummingbird	0.02133	0	46	1	29
Hummingbird	1	NA	0	NA	0	0	5	1	22
Hawkmoth	0.790561	Hummingbird	0.112718	Bat	0.09672	0	47	1	28
Hawkmoth	1	NA	0	NA	0	0	4	1	23
Hawkmoth	1	NA	0	NA	0	0	3	1	24
Hawkmoth	0.998134	Hummingbird	0.001333	Bat	0.000533	0	48	1	51
Hawkmoth	1	NA	0	NA	0	0	2	1	25
Hawkmoth	0.991534	Hummingbird	0.004733	Bat	0.003733	0	49	1	50
Hawkmoth	1	NA	0	NA	0	0	1	1	26
Hawkmoth	0.939141	Hummingbird	0.032462	Bat	0.028396	0	50	1	49
Hawkmoth	0.816025	Hummingbird	0.097987	Bat	0.085989	0	51	1	27
