Iteration	Replicate_ID	Posterior	Likelihood	Prior	mu	rate[1]	rate[2]	rate[3]	rate[4]	rate[5]	rate[6]
0	0	-14.51872	-16.77325	2.254524	0.03324033	0.0332403	0.0332403	0.0332403	0.0332403	0.0332403	0.0332403
1	1	-17.15459	-19.03767	1.883082	0.05577046	0.0557705	0.0557705	0.0557705	0.0557705	0.0557705	0.0557705
2	0	-13.68531	-16.07377	2.388459	0.02511638	0.0251164	0.0251164	0.0251164	0.0251164	0.0251164	0.0251164
3	1	-15.33975	-17.47655	2.1368	0.04038099	0.040381	0.040381	0.040381	0.040381	0.040381	0.040381
4	0	-13.21963	-15.71324	2.493615	0.01873804	0.018738	0.018738	0.018738	0.018738	0.018738	0.018738
5	1	-13.20142	-15.70122	2.499795	0.01836318	0.0183632	0.0183632	0.0183632	0.0183632	0.0183632	0.0183632
6	0	-13.12888	-15.71486	2.585989	0.01313503	0.013135	0.013135	0.013135	0.013135	0.013135	0.013135
7	1	-13.17427	-15.77843	2.604163	0.01203265	0.0120327	0.0120327	0.0120327	0.0120327	0.0120327	0.0120327
8	0	-13.58269	-15.9904	2.407719	0.02394818	0.0239482	0.0239482	0.0239482	0.0239482	0.0239482	0.0239482
9	1	-13.13897	-15.66568	2.526707	0.01673084	0.0167308	0.0167308	0.0167308	0.0167308	0.0167308	0.0167308
10	0	-13.96198	-16.30275	2.340773	0.02800885	0.0280088	0.0280088	0.0280088	0.0280088	0.0280088	0.0280088
11	1	-13.14434	-15.73788	2.593545	0.01267675	0.0126767	0.0126767	0.0126767	0.0126767	0.0126767	0.0126767
12	0	-13.74216	-16.12039	2.378229	0.02573693	0.0257369	0.0257369	0.0257369	0.0257369	0.0257369	0.0257369
13	1	-13.2065	-15.81932	2.612825	0.01150727	0.0115073	0.0115073	0.0115073	0.0115073	0.0115073	0.0115073
14	0	-14.16887	-16.47653	2.307655	0.03001763	0.0300176	0.0300176	0.0300176	0.0300176	0.0300176	0.0300176
15	1	-13.2065	-15.81932	2.612825	0.01150727	0.0115073	0.0115073	0.0115073	0.0115073	0.0115073	0.0115073
16	0	-13.22584	-15.71744	2.491602	0.01886016	0.0188602	0.0188602	0.0188602	0.0188602	0.0188602	0.0188602
17	1	-13.13717	-15.66491	2.527743	0.016668	0.016668	0.016668	0.016668	0.016668	0.016668	0.016668
18	0	-13.80723	-16.17405	2.366828	0.02642843	0.0264284	0.0264284	0.0264284	0.0264284	0.0264284	0.0264284
19	1	-13.13706	-15.72733	2.590266	0.0128756	0.0128756	0.0128756	0.0128756	0.0128756	0.0128756	0.0128756
20	0	-13.10797	-15.67196	2.563993	0.01446923	0.0144692	0.0144692	0.0144692	0.0144692	0.0144692	0.0144692
21	1	-13.45375	-16.10477	2.651021	0.009190485	0.00919049	0.00919049	0.00919049	0.00919049	0.00919049	0.00919049
22	0	-13.31554	-15.78164	2.4661	0.020407	0.020407	0.020407	0.020407	0.020407	0.020407	0.020407
23	1	-13.33575	-15.9721	2.636348	0.01008045	0.0100805	0.0100805	0.0100805	0.0100805	0.0100805	0.0100805
24	0	-13.66975	-16.06106	2.39131	0.02494348	0.0249435	0.0249435	0.0249435	0.0249435	0.0249435	0.0249435
25	1	-13.33575	-15.9721	2.636348	0.01008045	0.0100805	0.0100805	0.0100805	0.0100805	0.0100805	0.0100805
26	0	-13.52706	-15.94575	2.418689	0.02328276	0.0232828	0.0232828	0.0232828	0.0232828	0.0232828	0.0232828
27	1	-13.34426	-15.98182	2.637556	0.01000721	0.0100072	0.0100072	0.0100072	0.0100072	0.0100072	0.0100072
28	0	-13.1092	-15.66242	2.553223	0.01512249	0.0151225	0.0151225	0.0151225	0.0151225	0.0151225	0.0151225
29	1	-13.45915	-16.11075	2.651605	0.009155037	0.00915504	0.00915504	0.00915504	0.00915504	0.00915504	0.00915504
30	0	-13.24122	-15.72802	2.486794	0.0191518	0.0191518	0.0191518	0.0191518	0.0191518	0.0191518	0.0191518
31	1	-14.25972	-16.96401	2.704288	0.005959506	0.00595951	0.00595951	0.00595951	0.00595951	0.00595951	0.00595951
32	0	-13.11031	-15.68017	2.569865	0.01411304	0.014113	0.014113	0.014113	0.014113	0.014113	0.014113
