Iteration	Posterior	Likelihood	Prior	mu	rate[1]	rate[2]	rate[3]	rate[4]	rate[5]	rate[6]
0	-17.15459	-19.03767	1.883082	0.05577046	0.0557705	0.0557705	0.0557705	0.0557705	0.0557705	0.0557705
1	-15.33975	-17.47655	2.1368	0.04038099	0.040381	0.040381	0.040381	0.040381	0.040381	0.040381
2	-13.20142	-15.70122	2.499795	0.01836318	0.0183632	0.0183632	0.0183632	0.0183632	0.0183632	0.0183632
3	-13.17427	-15.77843	2.604163	0.01203265	0.0120327	0.0120327	0.0120327	0.0120327	0.0120327	0.0120327
4	-13.13897	-15.66568	2.526707	0.01673084	0.0167308	0.0167308	0.0167308	0.0167308	0.0167308	0.0167308
5	-13.14434	-15.73788	2.593545	0.01267675	0.0126767	0.0126767	0.0126767	0.0126767	0.0126767	0.0126767
6	-13.2065	-15.81932	2.612825	0.01150727	0.0115073	0.0115073	0.0115073	0.0115073	0.0115073	0.0115073
7	-13.2065	-15.81932	2.612825	0.01150727	0.0115073	0.0115073	0.0115073	0.0115073	0.0115073	0.0115073
8	-13.13717	-15.66491	2.527743	0.016668	0.016668	0.016668	0.016668	0.016668	0.016668	0.016668
9	-13.13706	-15.72733	2.590266	0.0128756	0.0128756	0.0128756	0.0128756	0.0128756	0.0128756	0.0128756
10	-13.45375	-16.10477	2.651021	0.009190485	0.00919049	0.00919049	0.00919049	0.00919049	0.00919049	0.00919049
11	-13.33575	-15.9721	2.636348	0.01008045	0.0100805	0.0100805	0.0100805	0.0100805	0.0100805	0.0100805
12	-13.33575	-15.9721	2.636348	0.01008045	0.0100805	0.0100805	0.0100805	0.0100805	0.0100805	0.0100805
13	-13.34426	-15.98182	2.637556	0.01000721	0.0100072	0.0100072	0.0100072	0.0100072	0.0100072	0.0100072
14	-13.45915	-16.11075	2.651605	0.009155037	0.00915504	0.00915504	0.00915504	0.00915504	0.00915504	0.00915504
15	-14.25972	-16.96401	2.704288	0.005959506	0.00595951	0.00595951	0.00595951	0.00595951	0.00595951	0.00595951
16	-14.15084	-16.85022	2.699375	0.006257526	0.00625753	0.00625753	0.00625753	0.00625753	0.00625753	0.00625753
17	-13.55984	-16.22135	2.661513	0.008554047	0.00855405	0.00855405	0.00855405	0.00855405	0.00855405	0.00855405
18	-13.20649	-15.81931	2.612822	0.01150745	0.0115075	0.0115075	0.0115075	0.0115075	0.0115075	0.0115075
19	-13.10894	-15.6628	2.553859	0.01508393	0.0150839	0.0150839	0.0150839	0.0150839	0.0150839	0.0150839
20	-13.34754	-15.98555	2.638013	0.009979498	0.0099795	0.0099795	0.0099795	0.0099795	0.0099795	0.0099795
21	-13.50744	-16.16401	2.656575	0.008853579	0.00885358	0.00885358	0.00885358	0.00885358	0.00885358	0.00885358
22	-14.48431	-17.19755	2.713245	0.005416228	0.00541623	0.00541623	0.00541623	0.00541623	0.00541623	0.00541623
23	-13.92149	-16.6089	2.687415	0.006982965	0.00698297	0.00698297	0.00698297	0.00698297	0.00698297	0.00698297
24	-13.51028	-16.16714	2.656855	0.008836621	0.00883662	0.00883662	0.00883662	0.00883662	0.00883662	0.00883662
25	-13.29021	-15.91955	2.629339	0.01050558	0.0105056	0.0105056	0.0105056	0.0105056	0.0105056	0.0105056
26	-13.16891	-15.7714	2.602499	0.01213362	0.0121336	0.0121336	0.0121336	0.0121336	0.0121336	0.0121336
27	-13.1265	-15.66108	2.534578	0.01625343	0.0162534	0.0162534	0.0162534	0.0162534	0.0162534	0.0162534
28	-13.15842	-15.67529	2.516866	0.01732775	0.0173278	0.0173278	0.0173278	0.0173278	0.0173278	0.0173278
