species,decimallongitude,decimallatitude,syndrome,region
Balmea_stormiae,-89.8,13.87,hummingbird,C
Balmea_stormiae,-90.66,14.4,hummingbird,C
Balmea_stormiae,-90.64,14.4,hummingbird,C
Balmea_stormiae,-92.95,15.72,hummingbird,C
Balmea_stormiae,-92.95,15.73,hummingbird,C
Balmea_stormiae,-92.5,16.5,hummingbird,C
Balmea_stormiae,-97.57,16.83,hummingbird,C
Balmea_stormiae,-99.88,17.53,hummingbird,C
Balmea_stormiae,-100.45,18.86,hummingbird,C
Balmea_stormiae,-101.8333,19.1667,hummingbird,C
Balmea_stormiae,-103.67,19.33,hummingbird,C
Balmea_stormiae,-102.05,19.35,hummingbird,C
Balmea_stormiae,-102.06,19.4,hummingbird,C
Balmea_stormiae,-103.7,19.43,hummingbird,C
Balmea_stormiae,-103.67,19.43,hummingbird,C
Balmea_stormiae,-103.68,19.43,hummingbird,C
Balmea_stormiae,-103.7,19.45,hummingbird,C
Balmea_stormiae,-103.67,19.46,hummingbird,C
Balmea_stormiae,-104.3,19.6,hummingbird,C
Balmea_stormiae,-104.98,21.5,hummingbird,C
Cosmibuena_grandiflora,-64.435,-16.7261,hawkmoth,ABD
Cosmibuena_grandiflora,-64.435,-16.7261,hawkmoth,ABD
Cosmibuena_grandiflora,-67.51666,-16.35,hawkmoth,ABD
Cosmibuena_grandiflora,-67.75,-16.21666,hawkmoth,ABD
Cosmibuena_grandiflora,-67.83333,-16.2,hawkmoth,ABD
Cosmibuena_grandiflora,-68.1667,-15.25,hawkmoth,ABD
Cosmibuena_grandiflora,-68.1667,-15.25,hawkmoth,ABD
Cosmibuena_grandiflora,-68.63694,-15.2125,hawkmoth,ABD
Cosmibuena_grandiflora,-68.712306,-14.669861,hawkmoth,ABD
Cosmibuena_grandiflora,-68.774722,-14.576944,hawkmoth,ABD
Cosmibuena_grandiflora,-68.90888,-14.57666,hawkmoth,ABD
Cosmibuena_grandiflora,-68.82166,-14.56861,hawkmoth,ABD
Cosmibuena_grandiflora,-67.820778,-14.088139,hawkmoth,ABD
Cosmibuena_grandiflora,-70,-13,hawkmoth,ABD
Cosmibuena_grandiflora,-71.372222,-12.901944,hawkmoth,ABD
Cosmibuena_grandiflora,-73.16944,-12.7875,hawkmoth,ABD
Cosmibuena_grandiflora,-75.25,-11.25,hawkmoth,ABD
Cosmibuena_grandiflora,-75.338055,-11.197778,hawkmoth,ABD
Cosmibuena_grandiflora,-75.41666,-11.08333,hawkmoth,ABD
Cosmibuena_grandiflora,-52.8731,-10.8339,hawkmoth,ABD
Cosmibuena_grandiflora,-74.38333,-10.75,hawkmoth,ABD
Cosmibuena_grandiflora,-75.093611,-10.572778,hawkmoth,ABD
Cosmibuena_grandiflora,-75.06666,-10.53333,hawkmoth,ABD
Cosmibuena_grandiflora,-75.07027,-10.48666,hawkmoth,ABD
Cosmibuena_grandiflora,-75.260278,-10.3325,hawkmoth,ABD
Cosmibuena_grandiflora,-75.540278,-10.291389,hawkmoth,ABD
Cosmibuena_grandiflora,-75.182778,-10.26,hawkmoth,ABD
Cosmibuena_grandiflora,-75.25,-10.25,hawkmoth,ABD
Cosmibuena_grandiflora,-74.94166,-10.19444,hawkmoth,ABD
Cosmibuena_grandiflora,-75.23138,-10.1725,hawkmoth,ABD
Cosmibuena_grandiflora,-75.368333,-10.134444,hawkmoth,ABD
Cosmibuena_grandiflora,-75.55027,-10.10416,hawkmoth,ABD
Cosmibuena_grandiflora,-74.14,-9.1839,hawkmoth,ABD
Cosmibuena_grandiflora,-74.14,-9.1839,hawkmoth,ABD
Cosmibuena_grandiflora,-74.14,-9.1839,hawkmoth,ABD
Cosmibuena_grandiflora,-74.14,-9.1839,hawkmoth,ABD
Cosmibuena_grandiflora,-74.14,-9.1839,hawkmoth,ABD
Cosmibuena_grandiflora,-74.14,-9.1839,hawkmoth,ABD
Cosmibuena_grandiflora,-74.14,-9.1839,hawkmoth,ABD
Cosmibuena_grandiflora,-74.14,-9.1839,hawkmoth,ABD
Cosmibuena_grandiflora,-74.14,-9.1839,hawkmoth,ABD
Cosmibuena_grandiflora,-74.14,-9.1839,hawkmoth,ABD
Cosmibuena_grandiflora,-74.14,-9.1839,hawkmoth,ABD
Cosmibuena_grandiflora,-74.14,-9.1839,hawkmoth,ABD
Cosmibuena_grandiflora,-76.41666,-6.5,hawkmoth,ABD
Cosmibuena_grandiflora,-77.36666,-5.66666,hawkmoth,ABD
Cosmibuena_grandiflora,-77.562639,-4.038153,hawkmoth,ABD
Cosmibuena_grandiflora,-75,-4,hawkmoth,ABD
Cosmibuena_grandiflora,-77.98333,-1.85,hawkmoth,ABD
Cosmibuena_grandiflora,-76.7,-1.816667,hawkmoth,ABD
Cosmibuena_grandiflora,-80.616667,-1.8,hawkmoth,ABD
Cosmibuena_grandiflora,-60.221386,-1.569003,hawkmoth,ABD
Cosmibuena_grandiflora,-60.221389,-1.568889,hawkmoth,ABD
Cosmibuena_grandiflora,-78.1869,-1.4628,hawkmoth,ABD
Cosmibuena_grandiflora,-77.6,-1.06666,hawkmoth,ABD
Cosmibuena_grandiflora,-77.61666,-1.06666,hawkmoth,ABD
Cosmibuena_grandiflora,-77.56666,-0.68333,hawkmoth,ABD
Cosmibuena_grandiflora,-79.213056,-0.525833,hawkmoth,ABD
Cosmibuena_grandiflora,-78.16666,0.66666,hawkmoth,ABD
Cosmibuena_grandiflora,-78.9,0.8,hawkmoth,ABD
Cosmibuena_grandiflora,-78.9,0.8,hawkmoth,ABD
Cosmibuena_grandiflora,-78.5,0.81666,hawkmoth,ABD
Cosmibuena_grandiflora,-78.45,0.85,hawkmoth,ABD
Cosmibuena_grandiflora,-54.54111,3.10472,hawkmoth,ABD
Cosmibuena_grandiflora,-53.08333,3.25,hawkmoth,ABD
