species,bio01,bio12,bio15,bio04,elev
Balmea_stormiae,1.289359689,3.065808691,2.023355673,2.237888421,1515
Cosmibuena_grandiflora,1.383515941,3.353045529,1.705123069,1.756773983,572
Cosmibuena_macrocarpa,1.409163539,3.387389826,1.771309582,1.773416525,220
Cosmibuena_matudae,1.284490411,3.237668494,1.844784123,2.056470215,1309
Cosmibuena_valerii,1.296497002,3.475089803,1.721007243,1.801595348,1250
Hillia_allenii,1.327140897,3.455453969,1.770717193,1.782201332,978
Hillia_bonoi,1.265717898,3.092055993,1.69022711,1.68381557,1659
Hillia_foldatsii,1.359860759,3.349083169,1.744815172,1.807085452,1501
Hillia_grayumii,1.356691764,3.550350672,1.575350427,1.85250771,662
Hillia_illustris,1.409572477,3.330818283,1.680340404,1.745256464,238.5
Hillia_killipii,1.32944701,3.219921878,1.41461216,1.582499996,1252.5
Hillia_longifilamentosa,1.300899677,3.448551739,1.822667906,1.814685364,1182
Hillia_loranthoides,1.318539837,3.518285346,1.700319441,1.85250771,1100
Hillia_macbridei,1.321005799,3.39926673,1.55398962,1.580947917,1126
Hillia_macromeris,1.405300825,3.356599436,1.433563622,1.616366827,366
Hillia_macrophylla_CA,1.363674731,3.503403035,1.619893934,1.861855517,599.5
Hillia_macrophylla_SA,1.287488201,3.258397804,1.565334334,1.510216992,1427
Hillia_maxonii,1.3310897,3.437433444,1.787667818,1.773359883,902
Hillia_palmana,1.296497002,3.418632687,1.779164797,1.832622772,1270
Hillia_parasitica,1.31089148,3.137037455,1.74054251,1.777650362,1445
Hillia_pumila,1.229122706,3.024074987,1.763339122,1.781219971,2304
Hillia_tetrandra,1.353242131,3.364726855,1.796505117,2.17266142,649
Hillia_triflora_var._pittieri,1.362853043,3.500373714,1.64651454,1.680771762,706
Hillia_triflora_var._triflora,1.313951543,3.477988976,1.705401997,1.837869235,1085
Hillia_ulei,1.398521585,3.272769587,1.684448989,1.894652268,210
Hillia_wurdackii,1.272402503,3.131618664,1.748928326,1.772254348,2007
