	Andes	Amazon 	NCA	SCA
Balmea_stormiae	0	0	1	0
Cosmibuena_grandiflora	1	1	0	1
Cosmibuena_macrocarpa	1	1	0	1
Cosmibuena_matudae	0	0	1	1
Cosmibuena_valerii	0	0	0	1
Hillia_allenii	0	0	0	1
Hillia_costanensis	1	1	0	0
Hillia_grayumii	0	0	0	1
Hillia_illustris	1	1	0	0
Hillia_killipii	1	0	0	0
Hillia_longifilamentosa	0	0	0	1
Hillia_loranthoides	0	0	1	1
Hillia_macromeris	1	1	0	0
Hillia_macrophylla_SA	1	0	0	0
Hillia_macrophylla_CA	0	0	0	1
Hillia_maxonii	1	1	0	1
Hillia_palmana	0	0	0	1
Hillia_panamensis	0	0	1	1
Hillia_parasitica	1	1	0	0
Hillia_pumila	1	0	0	0
Hillia_tetrandra	0	0	1	1
Hillia_triflora_var._pittieri	0	0	0	1
Hillia_triflora_var._triflora	0	0	0	1
Hillia_ulei	1	1	0	1
Hillia_wurdackii	1	0	0	0
