Species	Axis1_mean	Axis1_min	Axis1_max	Axis1_sd	Axis1_sd_min	Axis1_sd_max	Axis2_mean	Axis2_min	Axis2_max	Axis2_sd	Axis2_sd_min	Axis2_sd_max	syndrome	region
Balmea_stormiae	3.363083927	2.229784716	4.505934618	0.70869628	2.654387647	4.071780207	-0.439632702	-2.017206759	0.598197317	0.715344803	-1.154977505	0.275712101	hummingbird	C
Cosmibuena_grandiflora	0.193026492	-2.157384142	4.264206438	1.2037043	-1.010677808	1.396730792	0.727000149	-1.597515739	4.431090634	1.096903469	-0.369903319	1.823903618	hawkmoth	ABD
Cosmibuena_macrocarpa	-0.626069092	-4.65744421	1.183743227	1.035037575	-1.661106667	0.408968483	0.591268971	-1.547905368	2.955413167	1.052608787	-0.461339816	1.643877758	hawkmoth	ABD
Cosmibuena_matudae	1.988318041	-1.118972752	3.802171881	1.124537518	0.863780523	3.112855558	0.753990453	-0.663671282	1.777222832	0.633608838	0.120381615	1.387599291	hawkmoth	BC
Cosmibuena_valerii	0.541520212	-1.273530494	3.199525959	0.994884519	-0.453364307	1.536404731	1.973824072	-0.318223104	4.659144597	0.936200218	1.037623855	2.91002429	hawkmoth	B
Hillia_allenii	0.163987247	-0.342243114	0.598631279	0.312836909	-0.148849662	0.476824156	0.951721005	-1.013579349	2.65294583	1.225849128	-0.274128123	2.177570133	hummingbird	B
Hillia_costanensis	0.782541333	-0.176712371	2.056222526	0.723427939	0.059113394	1.505969272	-0.609743767	-1.587007911	1.276514177	0.930320615	-1.540064382	0.320576848	bat	AD
Hillia_grayumii	-1.026117584	-1.976326301	-0.068089176	0.856279294	-1.882396878	-0.16983829	1.397203551	0.56077736	2.164393627	0.788183692	0.609019859	2.185387243	bat	B
Hillia_illustris	-0.534985476	-2.117375155	3.041949395	1.074341466	-1.609326941	0.53935599	0.442783553	-1.104094417	2.475652991	0.864311423	-0.42152787	1.307094977	bat	AD
Hillia_killipii	0.807547448	-1.100324417	3.110622803	1.01475173	-0.207204282	1.822299179	1.852279957	-0.419292044	4.151034017	1.141468689	0.710811269	2.993748646	hawkmoth	A
Hillia_longifilamentosa	0.666481225	-1.210824348	1.847733939	0.976219556	-0.309738331	1.642700782	1.169978487	-1.492861819	2.398874762	1.283146537	-0.11316805	2.453125024	hummingbird	B
Hillia_loranthoides	0.267835165	-1.118972752	1.788116706	0.938004412	-0.670169246	1.205839577	1.165460183	-1.492861819	2.832039642	1.051292628	0.114167556	2.216752811	hawkmoth	BC
Hillia_macromeris	-0.307361146	-1.920332809	3.112705122	1.546061531	-1.853422677	1.238700385	1.280221593	-0.516095244	3.015128272	1.101241319	0.178980274	2.381462911	hawkmoth	AD
Hillia_macrophylla_CA	-0.676390336	-1.506208448	0.582436224	0.892190329	-1.568580666	0.215799993	1.353120945	0.103476999	2.832039642	1.165156977	0.187963967	2.518277922	hawkmoth	B
Hillia_macrophylla_SA	1.032490268	-2.239882427	3.597733174	1.378165983	-0.345675715	2.41065625	2.074167606	-0.879474693	3.363891625	0.966338455	1.10782915	3.040506061	hawkmoth	A
Hillia_maxonii	0.389846625	-2.773902256	4.85367158	1.390289513	-1.000442888	1.780136138	1.261057385	-0.516095244	5.582933988	1.369622227	-0.108564842	2.630679612	hawkmoth	ABD
Hillia_palmana	0.836708165	-1.506208448	4.73545633	1.161170253	-0.324462087	1.997878418	1.64600342	-1.492861819	4.79424713	1.231958801	0.414044618	2.877962221	hawkmoth	B
Hillia_panamensis	0.676969898	-1.882766621	2.831318138	0.978469659	-0.301499761	1.655439558	0.784823418	-1.492861819	2.821629701	1.057802545	-0.272979127	1.842625963	hawkmoth	BC
Hillia_parasitica	1.555649471	-1.556541737	7.407448273	1.682307191	-0.12665772	3.237956661	1.288462657	-2.093824208	5.042742044	1.388890636	-0.100427979	2.677353292	hawkmoth	AD
Hillia_pumila	2.206428367	-0.504643228	5.181816888	1.907052076	0.299376292	4.113480443	2.138955492	1.226309421	4.089443	0.822248786	1.316706706	2.961204278	hawkmoth	A
Hillia_tetrandra	0.795136042	-1.023612812	2.780631957	0.939469693	-0.14433365	1.734605735	0.115406425	-2.103478139	3.03325537	1.074185771	-0.958779347	1.189592196	hawkmoth	BC
Hillia_triflora_var._pittieri	-0.518161673	-1.839752976	0.705885543	0.646202257	-1.16436393	0.128040584	1.212332505	0.341919648	2.628806714	0.597217599	0.615114906	1.809550103	hummingbird	B
Hillia_triflora_var._triflora	0.394978621	-1.845572073	1.949362096	1.070377663	-0.675399042	1.465356283	1.448935034	-0.869662124	3.156579408	1.109958602	0.338976431	2.558893636	hummingbird	B
Hillia_ulei	-2.54E-05	-1.974178485	4.257194286	1.345841432	-1.345866835	1.345816028	0.27672139	-0.863656144	1.926419092	0.615407874	-0.338686484	0.892129264	bat	ABD
Hillia_wurdackii	1.890938368	-1.30681231	4.615310923	1.69976185	0.191176518	3.590700218	1.823140823	-0.419292044	3.705704224	1.014589056	0.808551767	2.837729879	hawkmoth	A
